student_id,subject,topic,assessment_date,score,max_score,time_spent_minutes,attempts,difficulty_level
STU001,Mathematics,Algebra,2025-08-19 14:42:01.812758,77.76,100,71,2,Medium
STU001,Computer Science,Data Structures,2025-09-18 14:42:01.812758,80.87,100,61,2,Medium
STU001,Science,Environmental Science,2025-09-28 14:42:01.812758,93.9,100,61,1,Easy
STU001,History,Ancient History,2025-10-15 14:42:01.812758,73.86,100,75,1,Hard
STU001,Computer Science,Data Structures,2025-10-19 14:42:01.812758,99.34,100,65,2,Medium
STU001,Science,Chemistry,2025-10-27 14:42:01.812758,90.4,100,31,1,Easy
STU001,English,Literature,2025-11-03 14:42:01.812758,77.18,100,33,1,Hard
STU001,History,Ancient History,2025-11-08 14:42:01.812758,90.23,100,37,1,Easy
STU001,Mathematics,Geometry,2025-11-18 14:42:01.812758,84.45,100,15,1,Hard
STU001,Science,Biology,2025-11-22 14:42:01.812758,93.62,100,19,1,Easy
STU001,Mathematics,Statistics,2025-11-26 14:42:01.812758,75.71,100,39,2,Medium
STU001,Computer Science,Data Structures,2025-11-28 14:42:01.812758,89.15,100,80,1,Medium
STU001,History,Civics,2025-11-30 14:42:01.812758,90.67,100,22,1,Medium
STU001,Computer Science,Web Development,2025-12-09 14:42:01.812758,80.66,100,15,1,Medium
STU001,Mathematics,Algebra,2026-01-13 14:42:01.812758,77.95,100,43,1,Hard
STU001,Science,Chemistry,2026-01-14 14:42:01.812758,93.71,100,68,1,Hard
STU001,Computer Science,Algorithms,2026-01-16 14:42:01.812758,83.39,100,33,3,Medium
STU001,Mathematics,Calculus,2026-01-25 14:42:01.812758,83.39,100,46,1,Hard
STU001,Mathematics,Geometry,2026-01-29 14:42:01.812758,93.9,100,73,2,Easy
STU001,Science,Environmental Science,2026-01-30 14:42:01.812758,79.85,100,78,1,Hard
STU002,Science,Environmental Science,2025-08-06 14:42:01.812758,71.34,100,22,1,Easy
STU002,Mathematics,Trigonometry,2025-08-17 14:42:01.812758,65.78,100,60,1,Medium
STU002,English,Writing,2025-08-23 14:42:01.812758,59.83,100,52,1,Hard
STU002,History,Ancient History,2025-08-25 14:42:01.812758,75.86,100,26,1,Medium
STU002,English,Writing,2025-08-26 14:42:01.812758,66.83,100,75,1,Medium
STU002,History,Modern History,2025-09-02 14:42:01.812758,67.39,100,40,1,Hard
STU002,Mathematics,Trigonometry,2025-09-02 14:42:01.812758,67.81,100,58,1,Easy
STU002,Mathematics,Statistics,2025-09-04 14:42:01.812758,57.99,100,65,1,Easy
STU002,English,Writing,2025-09-05 14:42:01.812758,73.96,100,20,1,Hard
STU002,History,Geography,2025-10-06 14:42:01.812758,71.37,100,38,2,Hard
STU002,History,Ancient History,2025-10-07 14:42:01.812758,79.7,100,89,1,Medium
STU002,History,Ancient History,2025-10-12 14:42:01.812758,65.9,100,24,1,Easy
STU002,Science,Chemistry,2025-10-26 14:42:01.812758,62.01,100,77,1,Easy
STU002,English,Writing,2025-11-06 14:42:01.812758,72.03,100,46,1,Medium
STU002,History,Ancient History,2025-11-07 14:42:01.812758,72.61,100,65,2,Medium
STU002,Computer Science,Algorithms,2025-11-13 14:42:01.812758,78.06,100,20,1,Medium
STU002,Science,Physics,2025-11-14 14:42:01.812758,80.06,100,20,2,Medium
